开仓时间,平仓时间,开单策略,方向,数量,开仓价格,平仓价格,盈亏(U),收益率,平仓原因
2026-04-17 01:28:03,2026-04-17 01:29:43,V23流动性高抛,空,0.04,74200.0,74202.5,-0.1,-0.07%,微利追踪止盈
2026-04-17 01:29:55,2026-04-17 01:31:12,V23流动性高抛,空,0.04,74195.0,74203.5,-0.34,-0.23%,绝对回撤保护
2026-04-17 01:39:35,2026-04-17 01:39:37,V23流动性低吸,多,0.04,74100.0,74091.6,-0.34,-0.23%,微利追踪止盈
2026-04-17 01:48:56,2026-04-17 01:52:08,V23流动性高抛,空,0.04,74355.0,74358.0,-0.12,-0.08%,微利追踪止盈
2026-04-17 01:58:04,2026-04-17 02:03:51,V23流动性低吸,多,0.04,74215.0,74320.3,4.21,2.84%,极速追踪止盈
2026-04-17 02:04:07,2026-04-17 02:04:11,V23流动性高抛,空,0.04,74315.0,74320.2,-0.21,-0.14%,微利追踪止盈
2026-04-17 02:04:54,2026-04-17 02:08:08,V23流动性高抛,空,0.04,74320.0,74333.4,-0.54,-0.36%,绝对回撤保护
2026-04-17 02:18:40,2026-04-17 02:18:49,V23流动性高抛,空,0.04,74385.0,74387.0,-0.08,-0.05%,微利追踪止盈
2026-04-17 02:19:32,2026-04-17 02:19:54,V23流动性高抛,空,0.04,74380.0,74380.3,-0.01,-0.01%,微利追踪止盈
2026-04-17 02:20:24,2026-04-17 02:20:30,V23流动性高抛,空,0.04,74380.0,74387.0,-0.28,-0.19%,微利追踪止盈
2026-04-17 02:20:47,2026-04-17 02:22:16,V23流动性高抛,空,0.04,74385.0,74387.0,-0.08,-0.05%,微利追踪止盈
2026-04-17 02:26:02,2026-04-17 02:26:55,V23流动性低吸,多,0.04,74285.0,74285.7,0.03,0.02%,微利追踪止盈
2026-04-17 02:38:13,2026-04-17 02:38:26,V23流动性高抛,空,0.04,74450.0,74451.9,-0.08,-0.05%,微利追踪止盈
2026-04-17 02:38:31,2026-04-17 02:38:32,V23流动性高抛,空,0.04,74440.0,74443.2,-0.13,-0.09%,微利追踪止盈
2026-04-17 02:38:38,2026-04-17 02:38:50,V23流动性高抛,空,0.04,74440.0,74451.8,-0.47,-0.32%,极速追踪止盈
2026-04-17 02:39:03,2026-04-17 02:39:30,V23流动性高抛,空,0.04,74450.0,74450.9,-0.04,-0.02%,微利追踪止盈
2026-04-17 02:39:36,2026-04-17 02:41:07,V23流动性高抛,空,0.04,74450.0,74529.7,-3.19,-2.14%,硬止损(0.08%)
2026-04-17 03:11:09,2026-04-17 03:13:06,V23流动性低吸,多,0.04,74835.0,74771.8,-2.53,-1.69%,硬止损(0.08%)
2026-04-17 03:20:32,2026-04-17 03:21:27,V23流动性高抛,空,0.04,74880.0,74883.8,-0.15,-0.10%,微利追踪止盈
2026-04-17 03:21:41,2026-04-17 03:22:17,V23流动性高抛,空,0.04,74880.0,74891.8,-0.47,-0.32%,绝对回撤保护
2026-04-17 03:22:40,2026-04-17 03:23:35,V23流动性高抛,空,0.04,74890.0,74895.9,-0.24,-0.16%,微利追踪止盈
2026-04-17 03:31:23,2026-04-17 03:31:34,V23流动性高抛,空,0.04,74955.0,74965.7,-0.43,-0.29%,微利追踪止盈
2026-04-17 03:34:52,2026-04-17 03:34:53,V23流动性高抛,空,0.04,75000.0,74974.7,1.01,0.67%,极速追踪止盈
2026-04-17 03:53:04,2026-04-17 03:53:07,V23流动性高抛,空,0.039,75240.0,75242.1,-0.08,-0.06%,微利追踪止盈
2026-04-17 03:55:14,2026-04-17 03:55:39,V23流动性高抛,空,0.039,75260.0,75266.5,-0.25,-0.17%,微利追踪止盈
2026-04-17 03:55:55,2026-04-17 03:56:00,V23流动性高抛,空,0.039,75265.0,75266.5,-0.06,-0.04%,极速追踪止盈
2026-04-17 04:00:54,2026-04-17 04:02:22,V23流动性高抛,空,0.039,75355.0,75370.1,-0.59,-0.40%,绝对回撤保护
2026-04-17 04:09:04,2026-04-17 04:09:24,V23流动性低吸,多,0.039,75250.0,75234.3,-0.61,-0.42%,绝对回撤保护
2026-04-17 04:09:31,2026-04-17 04:11:23,V23流动性低吸,多,0.039,75250.0,75260.5,0.41,0.28%,微利追踪止盈
2026-04-17 04:13:42,2026-04-17 04:13:43,V23流动性高抛,空,0.039,75350.0,75350.0,0.0,0.00%,微利追踪止盈
2026-04-17 04:16:15,2026-04-17 04:16:23,V23流动性高抛,空,0.039,75350.0,75345.9,0.16,0.11%,极速追踪止盈
2026-04-17 04:24:36,2026-04-17 04:25:01,V23流动性低吸,多,0.039,75210.0,75173.4,-1.43,-0.97%,V23趋势逃命
2026-04-17 04:30:51,2026-04-17 04:34:42,V23流动性低吸,多,0.039,75125.0,75069.9,-2.15,-1.47%,绝对回撤保护
2026-04-17 04:37:21,2026-04-17 04:37:23,V23流动性低吸,多,0.039,75005.0,75002.7,-0.09,-0.06%,微利追踪止盈
