开仓时间,平仓时间,开单策略,方向,数量,开仓价格,平仓价格,盈亏(U),收益率,平仓原因
2026-04-22 20:02:19,2026-04-22 20:05:59,V23高抛-轨外10U(优质区评分90),空,0.003,78285.0,78184.0,0.3,2.58%,极速追踪止盈
2026-04-22 20:13:35,2026-04-22 20:17:49,V23高抛-轨外10U(优质区评分85),空,0.003,78385.0,78326.1,0.18,1.50%,极速追踪止盈
2026-04-22 20:22:04,2026-04-22 20:46:33,V23低吸-轨外10U(优质区评分80),多,0.003,78235.0,78288.4,0.16,1.37%,极速追踪止盈
2026-04-22 20:48:41,2026-04-22 20:51:03,V23低吸-轨外10U(优质区评分90),多,0.003,78140.0,78175.0,0.1,0.90%,极速追踪止盈
2026-04-22 21:02:14,2026-04-22 21:02:46,V23低吸-轨外10U(优质区评分90),多,0.003,78150.0,78191.6,0.12,1.06%,极速追踪止盈
2026-04-22 21:05:23,2026-04-22 21:07:52,V23高抛-轨外10U(优质区评分90),空,0.003,78265.0,78221.4,0.13,1.11%,极速追踪止盈
2026-04-22 21:19:43,2026-04-22 21:20:24,V23高抛-轨外10U(优质区评分90),空,0.003,78420.0,78367.8,0.16,1.33%,极速追踪止盈
2026-04-22 21:31:19,2026-04-22 21:31:43,V23高抛-轨外10U(优质区评分90),空,0.003,78465.0,78599.1,-0.4,-3.42%,ATR反向放大止损(2.5%)
2026-04-22 21:45:52,2026-04-22 21:48:10,V23高抛-轨外10U(优质区评分90),空,0.003,78610.0,78571.0,0.12,0.99%,极速追踪止盈
2026-04-22 21:56:58,2026-04-22 22:05:52,V23高抛-轨外10U(优质区评分90),空,0.003,78745.0,78682.5,0.19,1.59%,极速追踪止盈
2026-04-22 22:06:08,2026-04-22 22:07:02,V23低吸-轨外10U(优质区评分90),多,0.003,78660.0,78754.8,0.28,2.41%,极速追踪止盈
2026-04-22 22:10:48,2026-04-22 22:18:09,V23高抛-轨外10U(优质区评分90),空,0.003,78865.0,78795.0,0.21,1.78%,极速追踪止盈
2026-04-22 22:19:14,2026-04-22 22:19:39,V23低吸-轨外10U(优质区评分90),多,0.003,78745.0,78783.8,0.12,0.99%,极速追踪止盈
2026-04-22 22:20:09,2026-04-22 22:20:49,V23低吸-轨外10U(优质区评分90),多,0.003,78745.0,78824.2,0.24,2.01%,极速追踪止盈
2026-04-22 22:44:54,2026-04-22 22:45:37,V23低吸-轨外10U(优质区评分90),多,0.003,78640.0,78674.8,0.1,0.89%,极速追踪止盈
2026-04-22 22:50:50,2026-04-22 22:51:50,V23高抛-轨外10U(优质区评分85),空,0.003,78920.0,78864.5,0.17,1.41%,极速追踪止盈
2026-04-22 22:52:15,2026-04-22 22:53:05,V23高抛-轨外10U(优质区评分90),空,0.003,78940.0,78907.8,0.1,0.82%,极速追踪止盈
2026-04-22 22:57:57,2026-04-22 23:01:20,V23高抛-轨外10U(优质区评分80),空,0.003,78990.0,78953.5,0.11,0.92%,极速追踪止盈
2026-04-22 23:06:22,2026-04-22 23:07:01,V23低吸-轨外10U(优质区评分90),多,0.003,78820.0,78890.2,0.21,1.78%,极速追踪止盈
2026-04-22 23:11:40,2026-04-22 23:12:28,V23高抛-轨外10U(优质区评分80),空,0.003,79075.0,78965.3,0.33,2.77%,极速追踪止盈
2026-04-22 23:19:07,2026-04-22 23:19:54,V23低吸-轨外10U(优质区评分90),多,0.003,78870.0,78954.8,0.25,2.15%,极速追踪止盈
2026-04-22 23:23:38,2026-04-22 23:24:28,V23高抛-轨外10U(优质区评分90),空,0.003,79020.0,78978.4,0.12,1.05%,极速追踪止盈
2026-04-22 23:26:05,2026-04-22 23:26:44,V23低吸-轨外10U(优质区评分90),多,0.003,78845.0,78878.2,0.1,0.84%,极速追踪止盈
2026-04-22 23:41:51,2026-04-22 23:42:57,V23高抛-轨外10U(优质区评分85),空,0.003,79275.0,79190.5,0.25,2.13%,极速追踪止盈
2026-04-22 23:52:53,2026-04-22 23:53:14,V23高抛-轨外10U(优质区评分90),空,0.003,79305.0,79267.6,0.11,0.94%,极速追踪止盈
2026-04-22 23:54:37,2026-04-22 23:58:02,V23高抛-轨外10U(优质区评分90),空,0.003,79350.0,79267.5,0.25,2.08%,极速追踪止盈
2026-04-23 00:06:14,2026-04-23 00:06:39,V23高抛-轨外10U(优质区评分90),空,0.003,79375.0,79302.4,0.22,1.83%,极速追踪止盈
2026-04-23 00:10:15,2026-04-23 00:19:02,V23低吸-轨外10U(优质区评分90),多,0.003,79220.0,79053.3,-0.5,-4.21%,ATR反向放大止损(2.5%)
2026-04-23 00:19:08,2026-04-23 00:21:13,V23低吸-轨外10U(优质区评分90),多,0.003,79075.0,79134.4,0.18,1.50%,极速追踪止盈
2026-04-23 00:22:44,2026-04-23 00:23:54,V23低吸-轨外10U(优质区评分90),多,0.003,79045.0,78937.4,-0.32,-2.72%,ATR反向放大止损(2.5%)
2026-04-23 00:26:05,2026-04-23 00:28:16,V23低吸-轨外10U(优质区评分90),多,0.003,78900.0,78953.2,0.16,1.35%,极速追踪止盈
2026-04-23 00:30:09,2026-04-23 00:32:19,V23低吸-轨外10U(优质区评分80),多,0.003,78835.0,78884.2,0.15,1.25%,极速追踪止盈
2026-04-23 00:42:34,2026-04-23 00:54:40,V23低吸-轨外10U(优质区评分90),多,0.003,78835.0,78671.0,-0.49,-4.16%,ATR反向放大止损(2.5%)
2026-04-23 01:01:34,2026-04-23 01:03:01,V23高抛-轨外10U(优质区评分90),空,0.003,78825.0,78788.3,0.11,0.93%,极速追踪止盈
2026-04-23 01:09:57,2026-04-23 01:16:41,V23高抛-轨外10U(优质区评分90),空,0.003,78885.0,78843.2,0.13,1.06%,极速追踪止盈
2026-04-23 01:17:11,2026-04-23 01:27:33,V23低吸-轨外10U(优质区评分85),多,0.003,78785.0,78831.3,0.14,1.18%,极速追踪止盈
2026-04-23 01:27:43,2026-04-23 01:29:50,V23高抛-轨外10U(优质区评分90),空,0.003,78845.0,78799.1,0.14,1.16%,极速追踪止盈
2026-04-23 01:36:37,2026-04-23 01:37:42,V23低吸-轨外10U(优质区评分90),多,0.003,78720.0,78780.4,0.18,1.53%,极速追踪止盈
2026-04-23 01:45:48,2026-04-23 01:47:09,V23低吸-轨外10U(优质区评分90),多,0.003,78715.0,78754.5,0.12,1.00%,极速追踪止盈
2026-04-23 01:47:54,2026-04-23 01:48:41,V23高抛-轨外10U(优质区评分90),空,0.003,78860.0,78816.4,0.13,1.11%,极速追踪止盈
2026-04-23 01:52:05,2026-04-23 01:57:57,V23高抛-轨外10U(优质区评分90),空,0.003,78900.0,78864.5,0.11,0.90%,极速追踪止盈
2026-04-23 02:06:00,2026-04-23 02:12:16,V23低吸-轨外10U(优质区评分90),多,0.003,78850.0,78893.2,0.13,1.10%,极速追踪止盈
2026-04-23 02:22:24,2026-04-23 02:23:09,V23低吸-轨外10U(优质区评分90),多,0.003,78860.0,78906.3,0.14,1.17%,极速追踪止盈
2026-04-23 02:24:57,2026-04-23 02:26:16,V23高抛-轨外10U(优质区评分90),空,0.003,78955.0,78912.9,0.13,1.07%,极速追踪止盈
